covariate,beta,se,pvalue,ci_low,ci_high,setting
intercept,-0.5999073733591949,706.8017887033195,0.9993227849995646,-1385.9314132318655,1384.731598485147,total
facial_coverings,0.2803312977073609,0.6205004439257512,0.6514256130682123,-0.9358495723871114,1.4965121678018332,total
gathering_restr,-0.6196682074502962,0.6190597633891195,0.3168350988361227,-1.8330253436929704,0.5936889287923781,total
school_restr,-0.14378595771806185,0.5688389381360184,0.8004452188481611,-1.2587102764646578,0.9711383610285342,total
workplace_restr,-0.2159878145754109,0.5019424272468468,0.6669745462352754,-1.1997949719792307,0.7678193428284088,total
travel_restr,0.5345524661328603,0.6300467084881851,0.39619682935326594,-0.7003390825039825,1.7694440147697033,total
stay_home,-1.1102230246251565e-16,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,total
school_holiday,0.07524048626399843,0.1211815500619709,0.5346716013073606,-0.16227535185746453,0.3127563243854614,total
vacc_one_dose,-0.3940019631765397,0.1588954389902754,0.013151862506606042,-0.7054370235974794,-0.08256690275559991,total
vacc_two_doses,-0.40578072786149455,0.16690366660137246,0.015047776784891389,-0.7329119144001845,-0.07864954132280455,total
age_0-10,0.26516800707163496,0.21749030885478762,0.22276162286974444,-0.16111299828374875,0.6914490124270187,total
age_11-18,0.30288455388566,0.18592291969981603,0.10329466842208349,-0.06152436872597944,0.6672934764972994,total
age_19-39,0.3853265264135502,0.13555783094873733,0.0044757717602328315,0.11963317775402504,0.6510198750730753,total
age_40-59,0.4137296614871059,0.1240256923161507,0.0008504259589205806,0.17063930454745052,0.6568200184267612,total
variant_Alpha,0.0,1000.0,1.0,-1960.0,1960.0,total
variant_Eta,0.0,1000.0,1.0,-1960.0,1960.0,total
variant_Delta,-0.5999030864159726,706.8017889441478,0.9993227898391783,-1385.9314094169456,1384.7316032441138,total
variant_Omicron,0.0,1000.0,1.0,-1960.0,1960.0,total
intercept,-1.6093100913505687,707.1066582285587,0.9981840892714202,-1387.5383602193256,1384.3197400366244,household
facial_coverings,0.6875547404503091,1.541936359786616,0.6556669910156707,-2.334640524731458,3.7097500056320762,household
gathering_restr,-1.19343781037398,1.4663449509461972,0.4157101898925216,-4.067473914228526,1.6805982934805666,household
school_restr,-1.1323970124283653,1.3176477643182138,0.3901154648610218,-3.7149866304920645,1.4501926056353336,household
workplace_restr,2.0633001250677063,1.2404800294429985,0.09625083553248599,-0.3680407326405706,4.494640982775984,household
travel_restr,0.09272931771130982,1.4568377661465792,0.9492480470004477,-2.7626727039359853,2.9481313393586053,household
stay_home,0.0,3.1622934716752664,1.0,-6.198095204483522,6.198095204483522,household
school_holiday,-0.27381079259210944,0.33585626169131355,0.4149224490521546,-0.9320890655070839,0.3844674803228651,household
vacc_one_dose,0.31762191135731527,0.4714828176495926,0.5005237262407871,-0.6064844112358863,1.2417282339505167,household
vacc_two_doses,0.17884246283904875,0.5019516705504461,0.7216202614806783,-0.8049828114398256,1.162667737117923,household
age_0-10,0.2956075020751891,0.641803898296643,0.6450938557008311,-0.962328138586231,1.5535431427366093,household
